time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-30T22:35:13.431Z,60.9904,-147.0335,14.3,1.7,ml,,,,0.59,ak,ak020457oaun,2020-03-30T22:38:35.741Z,"40km WSW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-30T22:29:46.478Z,63.1533,-151.4647,13.1,1.5,ml,,,,0.75,ak,ak020457n33r,2020-03-30T22:33:24.482Z,"115km NW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-30T22:05:31.574Z,33.8414,141.7715,10,4.6,mb,,128,1.789,0.76,us,us70008iwi,2020-03-30T22:27:39.040Z,"196km SE of Katsuura, Japan",earthquake,4.5,1.9,0.132,17,reviewed,us,us
2020-03-30T21:57:40.280Z,35.8211667,-117.6401667,3.71,0.85,ml,14,71,0.03509,0.14,ci,ci39121711,2020-03-30T22:01:29.329Z,"22km WNW of Searles Valley, CA",earthquake,0.26,0.56,0.183,12,automatic,ci,ci
2020-03-30T21:48:49.670Z,44.6585,-110.4166667,5.41,1.81,ml,14,187,0.08673,0.06,uu,uu60371482,2020-03-30T22:24:23.450Z,"39km NE of Old Faithful Geyser, Wyoming",earthquake,0.61,1.61,0.45,3,reviewed,uu,uu
2020-03-30T21:43:59.397Z,62.5746,-152.4152,14.5,1.5,ml,,,,0.85,ak,ak0204574rnz,2020-03-30T21:47:36.355Z,"122km WNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-30T21:43:10.320Z,38.8297,-117.0453,17.5,1.5,ml,8,171.8,0.108,0.29,nn,nn00720739,2020-03-30T21:56:35.587Z,"73km S of Austin, Nevada",earthquake,,1,,,automatic,nn,nn
2020-03-30T21:38:18.720Z,35.8203333,-117.6391667,6.18,0.56,ml,8,119,0.03416,0.25,ci,ci39121687,2020-03-30T21:41:52.092Z,"22km WNW of Searles Valley, CA",earthquake,0.65,1.92,0.181,6,automatic,ci,ci
2020-03-30T21:33:06.930Z,19.1993332,-155.3891602,33.34,1.81,md,43,176,0.03878,0.12,hv,hv71451967,2020-03-30T21:36:16.610Z,"9km E of Pahala, Hawaii",earthquake,0.7,0.79,0.16,6,automatic,hv,hv
2020-03-30T21:31:00.930Z,17.9133,-66.8918,4,2.19,md,10,220,0.0631,0.22,pr,pr202009019,2020-03-30T22:10:42.842Z,"6km SSE of Guanica, Puerto Rico",earthquake,0.54,0.62,0.39,2,reviewed,pr,pr
2020-03-30T21:24:48.497Z,39.1163,-119.7319,8.6,0.8,ml,6,132.36,0.029,0.169,nn,nn00720742,2020-03-30T21:59:07.372Z,"5km NE of Indian Hills, Nevada",earthquake,,1.8,0.08,2,reviewed,nn,nn
2020-03-30T21:22:02.320Z,17.9681,-66.8701,14,2.28,md,10,198,0.0115,0.11,pr,pr2020090018,2020-03-30T21:42:26.345Z,"2km ESE of Maria Antonia, Puerto Rico",earthquake,0.58,0.41,0.32,6,reviewed,pr,pr
2020-03-30T21:08:16.210Z,37.6464996,-118.9164963,4.57,1.21,md,15,88,0.01194,0.02,nc,nc73361910,2020-03-30T21:48:03.190Z,"6km E of Mammoth Lakes, CA",earthquake,0.38,0.53,0.15,15,automatic,nc,nc
2020-03-30T21:01:34.308Z,-9.3011,123.7499,93.2,4.9,mb,,61,0.681,1.04,us,us70008iul,2020-03-30T21:17:18.040Z,"32km N of Naisano Dua, Indonesia",earthquake,8.3,7.7,0.089,40,reviewed,us,us
2020-03-30T20:58:29.016Z,61.1065,-150.9934,53.7,1.5,ml,,,,0.69,ak,ak020456mebl,2020-03-30T21:11:19.585Z,"49km NNE of Nikiski, Alaska",earthquake,,0.8,,,automatic,ak,ak
